uid,instance_seed,n_agents,dep_mode,size,n_obstacles,couple_prob,couple_dist,method,status,team_time,flow_time,distance,wait,valid,agent_clearance,obstacle_clearance,dep_violations,n_switches,runtime_s,lower_bound,ratio_to_bound,git_commit,planner_seed,timeout_s,n_modes,n_feasible_modes,chosen_is_fastest_feasible,note,n_amax_violations,n_amax_viol_stop,n_amax_viol_block,n_amax_viol_snap,n_amax_viol_project,n_project_active,n_blocked,n_evals,n_stalled_evals,max_accel,phys_fp
n4_chain_830b6aab,8,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,17.0,56.7,41.84,17.645,True,1.0641,0.3854,0,3,8.465,13.9,1.223,aa1574f,0,300.0,16,16,True,,13,4,4,5,0,281,4,144,0,11.4793,058289b6e9fe
n4_chain_830b6aab,8,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,16.7,56.3,42.489,16.73,True,1.0453,0.3957,0,4,8.829,13.9,1.2014,aa1574f,2,300.0,16,16,True,,10,4,3,3,0,264,3,144,0,10.758,058289b6e9fe
n4_chain_39245676,9,4,chain,10.0,6-8,0.0,0.55,lower_bound,ok,13.2,,,,,,,,,0.0,13.2,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_39245676,9,4,chain,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,13.2,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_39245676,9,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,15.4,54.6,44.168,12.821,True,0.8227,0.3312,0,6,8.815,13.2,1.1667,aa1574f,0,300.0,16,16,True,,11,4,5,2,0,230,5,136,0,10.3783,058289b6e9fe
n4_chain_c09c402a,7,4,chain,10.0,6-8,0.0,0.55,lower_bound,ok,17.4,,,,,,,,,0.0,17.4,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_c09c402a,7,4,chain,10.0,6-8,0.0,0.55,sequential,no_solution,,,,,,,,,,,17.4,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_c09c402a,7,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,22.3,80.9,54.838,30.658,True,0.8674,0.3203,0,4,12.643,17.4,1.2816,aa1574f,0,300.0,16,16,True,,13,4,5,4,0,313,5,192,0,10.2785,058289b6e9fe
n4_chain_c09c402a,7,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,21.0,74.2,53.499,25.044,True,0.9233,0.3213,0,3,11.436,17.4,1.2069,aa1574f,2,300.0,16,16,True,,15,4,6,5,0,335,6,176,0,11.9221,058289b6e9fe
n4_chain_60406179,6,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,20.7,63.0,54.176,14.029,True,0.921,0.365,0,5,14.097,17.8,1.1629,aa1574f,1,300.0,16,16,True,,13,4,3,6,0,327,3,176,0,9.0505,058289b6e9fe
n4_chain_830b6aab,8,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,17.0,56.7,42.428,17.155,True,0.9235,0.3231,0,1,12.142,13.9,1.223,aa1574f,1,300.0,16,16,False,,13,4,5,4,0,282,5,144,0,12.0,058289b6e9fe
n4_chain_c09c402a,7,4,chain,10.0,6-8,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,29.0,89.0,50.578,42.187,False,0.7415,0.3209,0,3,13.942,17.4,1.6667,aa1574f,1,300.0,16,16,True,deadlock: no team progress,15,4,5,6,0,284,5,240,0,10.2785,058289b6e9fe
n4_chain_85d2c125,0,4,chain,10.0,6-8,1.0,0.55,wm_planner,unfinished:deadlock: no team progress,22.0,57.5,38.584,21.527,False,1.0469,0.3201,0,4,8.994,15.7,1.4013,aa1574f,2,300.0,16,16,False,deadlock: no team progress,9,4,2,3,0,233,2,184,0,9.8607,058289b6e9fe
n4_chain_39245676,9,4,chain,10.0,6-8,0.0,0.55,wm_planner,ok,16.6,59.4,44.252,17.488,True,0.9223,0.4317,0,8,13.2,13.2,1.2576,aa1574f,1,300.0,16,16,True,,9,4,3,2,0,209,3,144,0,9.3436,058289b6e9fe
n4_chain_85d2c125,0,4,chain,10.0,6-8,1.0,0.55,wm_planner,ok,18.1,57.6,46.94,14.718,True,0.9336,0.3213,0,5,12.564,15.7,1.1529,aa1574f,1,300.0,16,16,False,,12,4,4,4,0,279,4,160,0,9.5393,058289b6e9fe
n4_chain_85d2c125,0,4,chain,10.0,6-8,1.0,0.55,lower_bound,ok,15.7,,,,,,,,,0.0,15.7,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_85d2c125,0,4,chain,10.0,6-8,1.0,0.55,sequential,no_solution,,,,,,,,,,,15.7,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_85d2c125,0,4,chain,10.0,6-8,1.0,0.55,wm_planner,ok,18.4,60.9,46.142,18.67,True,0.9253,0.32,0,2,13.268,15.7,1.172,aa1574f,0,300.0,16,16,False,,11,3,4,4,0,280,4,160,0,12.0,058289b6e9fe
n4_chain_39245676,9,4,chain,10.0,6-8,0.0,0.55,wm_planner,unfinished:deadlock: no team progress,22.0,73.1,42.378,32.73,False,0.7003,0.3202,0,3,18.355,13.2,1.6667,aa1574f,2,300.0,16,16,True,deadlock: no team progress,12,3,6,2,1,414,6,184,0,9.9975,058289b6e9fe
n4_chain_97f1fb98,2,4,chain,10.0,6-8,1.0,0.55,lower_bound,ok,16.6,,,,,,,,,0.0,16.6,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_97f1fb98,2,4,chain,10.0,6-8,1.0,0.55,sequential,no_solution,,,,,,,,,,,16.6,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_97f1fb98,2,4,chain,10.0,6-8,1.0,0.55,wm_planner,ok,20.9,70.1,58.509,17.209,True,0.9211,0.3206,0,6,11.732,16.6,1.259,aa1574f,0,300.0,16,16,False,,16,4,7,5,0,308,7,176,0,12.0,058289b6e9fe
n4_chain_4491d2a9,3,4,chain,10.0,6-8,1.0,0.55,lower_bound,ok,14.6,,,,,,,,,0.0,14.6,1.0,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
n4_chain_4491d2a9,3,4,chain,10.0,6-8,1.0,0.55,sequential,no_solution,,,,,,,,,,,14.6,,aa1574f,0,300.0,,,,,,,,,,,,,,,058289b6e9fe
