uid,agent,route_idx,n_routes,length,len1,len2,hx,hy,sx,sy
n2_chain_631adeb0,1,1,2,5.738531,1.830355,3.908176,-0.342365,0.939567,1.009883,2.043218
n2_chain_66a35431,0,0,4,11.352627,7.534261,3.818366,0.870752,-0.491723,8.421116,11.376510
n2_chain_66a35431,0,1,4,11.768175,7.949808,3.818366,-0.939194,-0.343386,8.421116,11.376510
n2_chain_66a35431,0,2,4,12.030370,7.534261,4.496109,0.870752,-0.491723,8.421116,11.376510
n2_chain_66a35431,0,3,4,12.445918,7.949808,4.496109,-0.939194,-0.343386,8.421116,11.376510
n2_chain_66a35431,1,0,2,7.104203,5.493213,1.610991,0.985746,0.168239,1.806548,4.625239
n2_chain_66a35431,1,1,2,7.216888,5.605897,1.610991,0.986680,-0.162675,1.806548,4.625239
n2_chain_6e33da4f,0,0,2,14.825641,5.686871,9.138770,-0.047558,0.998868,7.255916,0.750464
n2_chain_6e33da4f,0,1,2,15.517940,5.686871,9.831069,-0.047558,0.998868,7.255916,0.750464
n2_chain_6e33da4f,1,0,4,11.100776,6.775221,4.325555,0.736777,-0.676136,2.261327,7.453998
n2_chain_6e33da4f,1,1,4,11.993803,6.775221,5.218582,0.736777,-0.676136,2.261327,7.453998
n2_chain_6e33da4f,1,2,4,12.221813,7.896259,4.325555,0.995263,-0.097218,2.261327,7.453998
n2_chain_6e33da4f,1,3,4,13.114840,7.896259,5.218582,0.995263,-0.097218,2.261327,7.453998
n2_chain_78a396e2,0,0,2,9.660876,7.577070,2.083805,-0.900418,-0.435025,3.788066,7.483039
n2_chain_78a396e2,0,1,2,11.412993,9.329188,2.083805,0.986453,-0.164044,3.788066,7.483039
n2_chain_78a396e2,1,0,4,8.804387,5.423643,3.380745,0.736464,-0.676477,1.519548,5.311119
n2_chain_78a396e2,1,1,4,10.609935,5.423643,5.186293,0.736464,-0.676477,1.519548,5.311119
n2_chain_78a396e2,1,2,4,10.918268,7.537524,3.380745,0.060474,-0.998170,1.519548,5.311119
n2_chain_78a396e2,1,3,4,12.723816,7.537524,5.186293,0.060474,-0.998170,1.519548,5.311119
n2_chain_7970095e,0,0,4,11.613670,4.200526,7.413145,0.972763,-0.231804,0.864629,0.815088
n2_chain_7970095e,0,1,4,11.764076,4.200526,7.563551,0.972763,-0.231804,0.864629,0.815088
n2_chain_7970095e,0,2,4,11.914115,4.500970,7.413145,0.972763,-0.231804,0.864629,0.815088
n2_chain_7970095e,0,3,4,12.064521,4.500970,7.563551,0.972763,-0.231804,0.864629,0.815088
n2_chain_7970095e,1,0,4,5.987913,0.438834,5.549079,-0.939048,0.343785,5.855188,0.830935
n2_chain_7970095e,1,1,4,6.468246,0.919167,5.549079,-0.975482,-0.220079,5.855188,0.830935
n2_chain_7970095e,1,2,4,7.080192,0.438834,6.641358,-0.939048,0.343785,5.855188,0.830935
n2_chain_7970095e,1,3,4,7.560525,0.919167,6.641358,-0.975482,-0.220079,5.855188,0.830935
n2_chain_7e07b912,0,0,4,5.851056,1.240826,4.610230,0.842919,0.538040,4.102208,5.419884
n2_chain_7e07b912,0,1,4,5.957546,1.240826,4.716720,0.842919,0.538040,4.102208,5.419884
n2_chain_7e07b912,0,2,4,6.428954,1.818724,4.610230,0.982477,-0.186386,4.102208,5.419884
n2_chain_7e07b912,0,3,4,6.535444,1.818724,4.716720,0.982477,-0.186386,4.102208,5.419884
n2_chain_7e07b912,1,0,4,12.061159,5.757152,6.304008,-0.132969,0.991120,6.385034,0.664829
n2_chain_7e07b912,1,1,4,12.221716,5.917709,6.304008,-0.256668,0.966500,6.385034,0.664829
n2_chain_7e07b912,1,2,4,12.545899,5.757152,6.788748,-0.132969,0.991120,6.385034,0.664829
n2_chain_7e07b912,1,3,4,12.706456,5.917709,6.788748,-0.256668,0.966500,6.385034,0.664829
n2_chain_94c06314,0,0,2,9.615606,3.933055,5.682551,0.308182,0.951327,0.703689,8.282451
n2_chain_94c06314,0,1,2,9.822360,3.933055,5.889306,0.308182,0.951327,0.703689,8.282451
n2_chain_94c06314,1,0,4,8.185163,0.533674,7.651489,0.834888,-0.550419,4.074369,9.368369
n2_chain_94c06314,1,1,4,8.462201,0.533674,7.928527,0.834888,-0.550419,4.074369,9.368369
n2_chain_94c06314,1,2,4,8.830088,1.178599,7.651489,-0.964611,-0.263678,4.074369,9.368369
n2_chain_94c06314,1,3,4,9.107126,1.178599,7.928527,-0.964611,-0.263678,4.074369,9.368369
n2_chain_96f0c179,0,0,4,10.266256,3.434705,6.831551,-0.874817,-0.484454,2.983508,4.465064
n2_chain_96f0c179,0,1,4,11.208753,4.377202,6.831551,-0.995605,0.093648,2.983508,4.465064
n2_chain_96f0c179,0,2,4,11.530690,3.434705,8.095986,-0.874817,-0.484454,2.983508,4.465064
n2_chain_96f0c179,0,3,4,12.473188,4.377202,8.095986,-0.995605,0.093648,2.983508,4.465064
n2_chain_96f0c179,1,0,4,16.536373,8.119878,8.416495,-0.797470,-0.603358,2.338490,9.755732
n2_chain_96f0c179,1,1,4,16.549517,8.133022,8.416495,-0.797470,-0.603358,2.338490,9.755732
n2_chain_96f0c179,1,2,4,17.448904,8.119878,9.329026,-0.797470,-0.603358,2.338490,9.755732
n2_chain_96f0c179,1,3,4,17.462048,8.133022,9.329026,-0.797470,-0.603358,2.338490,9.755732
n2_chain_97197cd4,0,0,2,8.982703,7.667781,1.314922,0.893415,0.449231,2.501368,3.499904
