uid,planner_seed,replan_idx,cluster_id,mode_idx,members,agent_tokens,obstacle_tokens,mode,k,density,y_exit,dt_delay,solo_exit_s,stalled
n2_chain_5fca519e,0,0,0,10,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r30|B>A|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,11,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r13|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,12,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r22|B>A,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,13,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r31|A>B|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,14,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r32|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,0,0,15,"0,1","[[1.3942883211754493, 0.4451927719345985, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [-1.3942883211754484, -0.44519277193459894, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[[-2.7402715819134587, 1.8245073717455416, 0.9283402577555355, 1.4956483146537087], [0.8659944051252833, 2.322500182999601, 0.7149979142762355, 0.8220981922823951]]",r33|B>A,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,0,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r00|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,1,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r00|A>B|s,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,2,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r00|A>B|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,3,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r00|B>A,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,4,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r01|A>B|cs,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,5,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r10|A>B,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,6,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r10|B>A,2,0.0707355302630646,1,-9.9,10.0,0
n2_chain_5fca519e,0,1,0,7,"0,1","[[0.48842898961482817, 0.32356724053273256, -1.1971706466750327, -0.0823555696943684, 1.0, 0.0, 0.0, 0.0], [-0.48842898961482817, -0.323567240532733, 0.8642770142750356, -0.8324813749963599, 1.0, 0.0, 0.0, 0.0]]","[[-2.4610658522203996, 1.838699257475871, 0.9283402577555355, 1.4956483146537087], [1.1452001348183423, 2.3366920687299304, 0.7149979142762355, 0.8220981922823951]]",r11|B>A,2,0.0707355302630646,1,-9.9,10.0,0
