[bench.run] 경고: wm_config 의 "seed": 0 를 무시한다. 플래너 seed 는 axis.planner_seeds 가 정한다 (이번 실행: [0, 1, 2]).
P1b: 격자 1620, 인스턴스 1620 x 3 planner seeds = 4860 units
  기존 완료 0 units, 이번 실행 대상 4860 units
  방법 ['lower_bound', 'prioritized', 'wm_planner']
  결정론적 ['lower_bound', 'prioritized'] 는 planner_seed=0 에서만 돈다
  워커 8 (안쪽 1), 하드 타임아웃 300s / 인스턴스
  commit abf8b8a
-> bench/runs/P1b.csv

  [  200/4860] n2_chain_d5b7e448                  ps=2 10.4s ok                 0:56 경과, 남은 ~21:55
  [  201/4860] n2_chain_62c41682                  ps=0 11.7s ok                 0:56 경과, 남은 ~21:53
  [  202/4860] n2_chain_62c41682                  ps=2 11.7s ok                 0:56 경과, 남은 ~21:48
  [  203/4860] n2_chain_0f5be0e9                  ps=0 13.9s ok                 0:57 경과, 남은 ~21:52
  [  204/4860] n2_chain_f0415752                  ps=2 8.9s ok                  0:58 경과, 남은 ~22:06
  [  205/4860] n2_chain_0f5be0e9                  ps=1 14.0s ok                 0:58 경과, 남은 ~22:01
  [  206/4860] n2_chain_0f5be0e9                  ps=2 14.0s ok                 0:58 경과, 남은 ~21:57
  [  207/4860] n2_chain_f0415752                  ps=0 8.7s ok                  0:58 경과, 남은 ~21:53
  [  208/4860] n2_chain_c6c53e90                  ps=1 15.0s unfinished:deadlock: no team progress 0:58 경과, 남은 ~21:46
  [  209/4860] n2_chain_f0415752                  ps=1 8.9s ok                  0:58 경과, 남은 ~21:43
  [  210/4860] n2_chain_c6c53e90                  ps=2 14.0s unfinished:deadlock: no team progress 0:59 경과, 남은 ~21:55
  [  211/4860] n2_chain_f9948172                  ps=0 13.8s ok                 1:00 경과, 남은 ~22:14
  [  212/4860] n2_chain_f9948172                  ps=2 13.8s ok                 1:00 경과, 남은 ~22:10
  [  213/4860] n2_chain_281b17fc                  ps=0 12.7s ok                 1:00 경과, 남은 ~22:05
  [  214/4860] n2_chain_281b17fc                  ps=1 14.5s ok                 1:01 경과, 남은 ~22:05
  [  215/4860] n2_chain_f9948172                  ps=1 13.8s ok                 1:01 경과, 남은 ~22:10
  [  216/4860] n2_chain_281b17fc                  ps=2 16.0s unfinished:deadlock: no team progress 1:01 경과, 남은 ~22:12
  [  217/4860] n2_chain_e77e4768                  ps=0 13.0s ok                 1:02 경과, 남은 ~22:09
  [  218/4860] n2_chain_e77e4768                  ps=1 12.9s ok                 1:02 경과, 남은 ~22:09
  [  219/4860] n2_chain_8fee468a                  ps=0 11.5s ok                 1:02 경과, 남은 ~22:06
  [  220/4860] n2_chain_8fee468a                  ps=1 11.5s ok                 1:02 경과, 남은 ~22:02
  [  221/4860] n2_chain_e77e4768                  ps=2 13.0s ok                 1:03 경과, 남은 ~22:06
  [  222/4860] n2_chain_0527f852                  ps=1 9.8s ok                  1:03 경과, 남은 ~22:12
  [  223/4860] n2_chain_8fee468a                  ps=2 11.5s ok                 1:03 경과, 남은 ~22:06
  [  224/4860] n2_chain_0527f852                  ps=0 10.1s ok                 1:03 경과, 남은 ~22:02
  [  225/4860] n2_chain_02697044                  ps=1 8.6s ok                  1:03 경과, 남은 ~21:57
  [  226/4860] n2_chain_02697044                  ps=2 8.4s ok                  1:04 경과, 남은 ~21:53
  [  227/4860] n2_chain_23fea14c                  ps=0 7.6s ok                  1:04 경과, 남은 ~21:47
  [  228/4860] n2_chain_02697044                  ps=0 8.5s ok                  1:04 경과, 남은 ~21:46
  [  229/4860] n2_chain_0527f852                  ps=2 10.1s ok                 1:04 경과, 남은 ~21:40
  [  230/4860] n2_chain_23fea14c                  ps=1 7.6s ok                  1:04 경과, 남은 ~21:47
  [  231/4860] n2_chain_23fea14c                  ps=2 7.6s ok                  1:04 경과, 남은 ~21:42
  [  232/4860] n2_chain_cfeafdf3                  ps=0 8.3s ok                  1:05 경과, 남은 ~21:40
  [  233/4860] n2_chain_cfeafdf3                  ps=1 8.2s ok                  1:05 경과, 남은 ~21:35
  [  234/4860] n2_chain_cfeafdf3                  ps=2 8.7s ok                  1:05 경과, 남은 ~21:41
  [  235/4860] n2_chain_b20c95e7                  ps=0 11.3s ok                 1:06 경과, 남은 ~21:40
  [  236/4860] n2_chain_f9b699ad                  ps=0 7.7s ok                  1:06 경과, 남은 ~21:36
  [  237/4860] n2_chain_f9b699ad                  ps=2 7.7s ok                  1:06 경과, 남은 ~21:33
  [  238/4860] n2_chain_b20c95e7                  ps=2 11.3s ok                 1:06 경과, 남은 ~21:28
  [  239/4860] n2_chain_f9b699ad                  ps=1 7.7s ok                  1:06 경과, 남은 ~21:30
  [  240/4860] n2_chain_b20c95e7                  ps=1 11.3s ok                 1:07 경과, 남은 ~21:30
  [  241/4860] n2_chain_dfd00d2d                  ps=0 11.7s ok                 1:08 경과, 남은 ~21:45
  [  242/4860] n2_chain_dfd00d2d                  ps=1 11.4s ok                 1:08 경과, 남은 ~21:55
  [  243/4860] n2_chain_4387676d                  ps=0 17.0s ok                 1:09 경과, 남은 ~22:01
  [  244/4860] n2_chain_4387676d                  ps=2 17.0s ok                 1:09 경과, 남은 ~22:01
